Join_Count,TARGET_FID,proyecto,FREQUENCY,region_zon,latitud,longitud,precio_m2,Total_Pric,superficie,niveles,torres,unidades,ascensor,dormitorio,sanitarios,parqueos,parqueos_m,balcon,piscina,gimnasio,areas_verd,area_socia,areas_depo,juegos,Densidad,Porcentaje,Porcenta_1,Porcenta_2,Porcenta_3,Porcenta_4,Dist_DBC,Dist_CH,Dist_Trans,Count_Tran,Dist_Tra_1,Count_Tr_1,Dist_Educa,Count_Educ,Dist_Salud,Count_Salu,Dist_Cultu,Count_Cult,Dist_parqu,Area_parqu,Dist_Resta,Count_Rest,Dist_hotel,Count_Hote,Dist_banco,Count_Banc,Dist_Ofico,Count_Ofic,Dist_indus,Count_Indu,Dist_Vías,G2,G3,G4,G5,ID,Zona,CLUSTER_ID,Municipio,ZONA_1,Población,km2,NEAR_FID
1,251,Muxbalia,39,CAES,14.560613,-90.476891,1528.102564,251944.7949,166.4102564,6,6,56,1,2.435897436,2.474358974,2.179487179,0,1,0,1,1,1,0,1,120,20,11,3,17,6,4.631026872,7.630554626,4.90120937,0,0.029516541,1,0.341582349,3,2.306156145,0,2.776311676,0,1.006630153,0,0.393817716,6,2.104606289,0,0.514488717,4,0.175603242,4,3.295939924,0,0.856241555,0,0,0,0,251,42,1,Santa Catarina Pinula,0,80582,672,367
1,252,N Américas,10,Zona 13,14.577418,-90.524359,2067,128229.5,62,13,1,78,2,2,2,1.5,0,1,0,1,1,1,0,1,319,25,12,2,16,8,2.323072723,5.446443308,0.272819097,4,1.180486063,0,0.10028097,11,0.233952113,6,0.139517735,7,0.103373095,81380,0.506328712,7,0.728170874,2,0.219645673,5,0.314110377,2,0.683968562,3,1.285882114,0,0,1,0,252,13,1,Guatemala,13,25850,81,5
1,253,Nagano,8,Zona 16,14.581654,-90.443915,992.5,79426,80,12,4,192,6,3,2,2,0,1,0,1,1,1,1,1,120,20,11,3,17,6,6.372618353,8.069350862,6.834635754,0,2.176764954,0,2.79002551,0,4.098720407,0,4.220588317,0,1.062706629,0,2.7329645,0,4.225148811,0,2.750929584,0,2.727453218,0,2.553076489,0,2.709964697,0,0,0,0,253,16,3,Santa Catarina Pinula,0,80582,672,121
1,254,Naori,12,Zona 10,14.59618,-90.5088,2082,254851.1667,122.44,14,1,50,3,2.5,2.5,2,0,1,0,1,1,1,0,1,140,19,37,16,18,17,0.075982674,3.390300119,1.092866274,0,0.177029004,4,0.094260793,18,0.460731264,7,0.358835974,7,0.198052843,36134,0.029845702,79,0.214163072,13,0.42493567,31,0.189732802,43,1.594091739,0,0.169519773,0,0,1,0,254,10,1,Guatemala,10,7700,55,143
1,255,Nara,3,Mixco Zona 1,14.61788,-90.607405,894,55455,62,4,1,32,0,2,2,1,0,0,0,0,1,1,0,1,516,23,14,2,17,7,9.014566042,8.560796182,4.894813981,0,6.311713629,0,4.039429316,0,2.670229996,0,3.999662683,0,0.58861061,6958,0.331960219,4,1.03444677,0,0.301697741,4,0.185182804,2,0.490231075,1,0.072108014,0,0,0,0,255,39,2,Mixco,0,465775,902,334
1,256,Narama Fase 1,55,Zona 13,14.581425,-90.523598,2637.218182,178500.6,68.56421818,11,1,52,7,2.254545455,2,0.509090909,0,1,0,1,0,1,0,1,319,25,12,2,16,8,1.915815238,5.038838368,0.146375906,4,0.973938785,0,0.36317999,10,0.218200284,6,0.024857625,8,0.144410427,89782,0.167737627,19,0.571658966,2,0.140087371,17,0.0543606,8,0.637202697,1,0.996590998,0,0,1,0,256,13,1,Guatemala,13,25850,81,7
1,257,Narama Fase 2,66,Zona 13,14.581425,-90.523598,2394.181818,141180.6364,60.42960606,10,1,120,2,1.606060606,1.484848485,0.303030303,0,1,0,1,0,1,0,1,319,25,12,2,16,8,1.915815238,5.038838368,0.146375906,4,0.973938785,0,0.36317999,10,0.218200284,6,0.024857625,8,0.144410427,89782,0.167737627,19,0.571658966,2,0.140087371,17,0.0543606,8,0.637202697,1,0.996590998,0,0,1,0,257,13,1,Guatemala,13,25850,81,7
1,258,Naridia,34,Zona 14,14.58709,-90.5121,2444.264706,234163.4412,95.98529412,8,1,35,2,1.970588235,2.235294118,1.617647059,0,1,0,0,1,1,0,0,364,19,24,10,17,13,1.039579724,4.314501317,1.005715179,0,0.347118942,4,0.109476591,20,0.203911558,9,0.090354331,4,0.643734252,60158,0.237136694,36,0.690660901,5,0.205976684,23,0.107421873,33,0.651196905,3,0.268503991,0,1,0,0,258,14,1,Guatemala,14,16390,45,11
1,259,Natú,15,Zona 16,14.60337,-90.4767,2052.666667,134657,65.79333333,11,1,36,2,2,1.833333333,1.666666667,0,1,0,1,1,1,0,1,198,19,24,8,16,8,2.942785278,4.150037018,3.007699742,0,2.642135926,0,0.403633104,4,0.904978227,0,1.064160453,0,0.671435636,14753,0.838174285,1,3.117961686,0,1.100095244,0,0.733864904,1,2.540790346,0,0.662434115,0,1,0,0,259,16,1,Guatemala,16,38996,197,347
1,260,Natur Premium,23,Zona 16,14.61887,-90.47983,1437.086957,196521.7391,139.3043478,7,2,12,2,2.695652174,2.695652174,2,0,1,0,1,1,1,0,1,198,19,24,8,16,8,3.160139273,3.074818095,1.707887927,0,2.631595739,0,0.199123185,16,0.988517757,0,0.834145633,1,0.263350738,81737,0.742881309,2,3.361781886,0,0.404140425,3,0.336110642,1,1.083797358,0,0.451884335,0,1,0,0,260,16,4,Guatemala,16,38996,197,100
1,261,NEO,113,Zona 10,14.59169,-90.505205,1780.716814,173834.1858,98.36460177,15,1,112,2,2.168141593,1.831858407,1.805309735,0,1,0,1,0,1,0,0,140,19,37,16,18,17,0.46104072,3.852916893,1.562497953,0,0.113865376,2,0.132868379,15,0.136051275,5,0.283638361,3,0.192352562,30632,0.091507667,35,0.072118811,5,0.302995739,11,0.292904263,30,1.303115493,0,0.110024165,0,0,0,1,261,10,1,Guatemala,10,7700,55,143
1,262,Niko 10,14,Zona 10,14.59492,-90.507,2183.071429,174137.4286,81.31714286,20,1,70,2,2.5,1.857142857,1.857142857,0,1,0,1,1,1,1,0,140,19,37,16,18,17,0.116719276,3.519166715,1.304992034,0,0.094067376,2,0.125529997,16,0.276302465,5,0.471211177,7,0.210390343,28996,0.037750854,66,0.06237721,9,0.452287057,23,0.133279889,35,1.521170656,0,0.088318601,0,0,1,0,262,10,1,Guatemala,10,7700,55,143
1,263,Nivó,52,Zona 15,14.594911,-90.493346,1735.846154,187651.5385,108.3715385,7,1,35,2,2.5,2.5,1.923076923,0,1,0,0,1,1,0,1,119,19,37,16,17,17,1.255485445,3.828088414,2.62501298,0,1.107055641,0,0.234603235,8,0.585650749,1,0.29701778,2,0.114049133,85154,0.174235859,3,1.259498093,0,0.157885683,9,0.246295831,3,2.30176639,0,0.120877333,0,1,0,0,263,15,1,Guatemala,15,11192,94,347
1,264,Nogales,16,Zona 16,14.609098,-90.487057,2160.4375,323275,145.825,6,4,117,1,3,2.125,2,0,1,1,1,1,1,1,1,198,19,24,8,16,8,2.173661353,2.997411744,1.951301777,0,2.341089787,0,0.189319221,4,0.248287177,2,0.122675377,4,0.228165415,18144,0.089065146,13,2.381428469,0,0.096032967,4,0.007773013,4,1.562530751,0,0.129435564,0,1,0,0,264,16,1,Guatemala,16,38996,197,347
