TARGET_FID,proyecto,region_zon,latitud,longitud,precio_m2,Total_Pric,superficie,niveles,torres,unidades,ascensor,dormitorio,sanitarios,parqueos,Dist_DBC,Dist_CH,Dist_Trans,Dist_Tra_1,Dist_Educa,Dist_Salud,Dist_Cultu,Dist_parqu,Dist_Resta,Dist_hotel,Dist_banco,Dist_Ofico,Dist_indus,Dist_Vías,Población
419,Vila Catorce,Zona 14,14.58525,-90.5071,2210.75,123052,56.71,7,1,34,2,2,1.75,1.75,1.080662042,4.485197652,1.533586583,0.326454013,0.331253749,0.516916165,0.484292518,0.177808737,0.478961075,0.599962837,0.212729251,0.282095818,0.670496244,0.496899433,16390
420,Vila Quince,Zona 15,14.5851,-90.5071,2181.5,113870,52.68,10,1,42,2,1,1,1.5,1.095652178,4.500190764,1.540337649,0.340322105,0.316705494,0.531339694,0.49620599,0.16312433,0.49393948,0.614296513,0.2276878,0.297058158,0.658930204,0.510784123,16390
421,Vilabosque,Zona 16,14.610545,-90.479245,2206,156009,71,9,1,33,2,2,1.666666667,1.666666667,2.929083449,3.514634459,2.289282139,2.641866962,0.621929477,0.412819194,0.687259106,0.027143288,0.389794283,3.175799795,0.700440287,0.231915008,1.786106511,0.432724038,38996
422,Vilare Apartamentos,CAES,14.537933,-90.447554,1390,130000,93.5,3,1,18,0,3,2,2,8.292413291,11.04582394,8.467531926,0.444249273,4.04021734,5.794547403,6.274550399,0.106469019,0.428786902,1.727352371,0.398342947,0.340530796,0.159080277,0.728685455,80582
423,Villa Mariscal Torre 1,Zona 11,14.60858,-90.5536,1718.166667,106478.3333,62.47833333,11,4,120,2,2.166666667,1.833333333,1.666666667,3.555259961,3.870763811,0.30125256,1.391410567,0.134005185,0.539632628,0.556798909,0.538046596,0.288769582,0.625203043,0.439362435,0.2317693,0.318280774,0.301611752,35003
424,Villa Positano,Zona 13,14.59361191,-90.52189247,1571.8125,133614.25,85,5,1,16,1,2,2,1.75,0.702628604,3.808376698,0.030123006,0.197209109,0.156631035,0.435284948,0.513203661,0.33702626,0.287395358,0.492251677,0.133751945,0.420017823,1.062125179,0.286376622,25850
425,Villa Santa Marta,Zona 3,14.627408,-90.522805,693.5714286,33283.14286,48.03714286,6,1,39,0,2,1,0,1.924217958,0.481642642,0.236359565,0.229397099,0.135241206,0.086288926,0.335019538,0.310518322,0.432394813,0.206121371,0.147896617,0.075817238,0.05075647,0.315929855,46215
426,Villas de Condado El Naranjo,Mixco Zona 2,14.656432,-90.541389,1421.333333,125794,88.68333333,5,10,170,1,2,1,1.666666667,5.320646019,2.23338246,1.146245385,2.231470667,0.94015841,0.937679824,1.905781664,0.200150569,0.115295208,2.764323733,0.102708379,1.486890792,0.706026798,0.518976683,465775
427,Villas Granada II,CAES,14.56267272,-90.509733,857,60006,70,5,6,168,6,3,1,2,3.351372645,6.742058299,1.852380517,1.575486249,1.723292764,1.860319154,1.951664191,0.40854354,1.219028743,0.282985027,1.920286956,1.546413107,1.508618038,2.231768305,80582
428,Villas Granada Premier 2,CAES,14.56037,-90.4989,892,71333,80,18,2,144,2,3,2,2,3.652322199,7.036396225,2.875344689,0.982111067,1.729239342,1.990958068,2.820017928,0.471202558,1.259403138,0.999816144,1.810828592,0.996176192,2.275015872,1.710497261,80582
429,Villas Los Álamos,San Miguel Petapa,14.51697745,-90.53721614,826.3333333,63147.33333,77.93277778,5,3,60,0,3.166666667,2.166666667,1.833333333,8.475422065,11.61554268,5.393145074,0.492189566,2.470662946,2.994098035,2.956194493,0.908612125,0.718617055,0.364292237,0.681665962,1.682221923,1.221041312,2.226902723,155422
430,Villas Portal de San Isidro,Zona 16,14.61928991,-90.45702844,1335.382353,121930.0882,91.5,4,2,12,2,3.5,2.5,2.235294118,5.312651052,5.255286721,3.603605341,0.393752811,0.418824373,0.868590719,1.398104312,1.002905125,1.272693567,3.153182912,1.63866516,1.250286769,2.954007353,0.297368251,38996
431,Villas Serena de arrazola,CAES,14.52461,-90.4402,1048.333333,103896.3333,99,4,18,112,2,2.666666667,2,2,9.76041239,12.56336589,9.748112331,1.930812167,5.479375976,7.293229301,7.774651978,0.686322215,1.944308814,3.058333047,1.341324186,1.297976396,1.444483068,2.082931837,58922
